element	precision	recall	f1	bleu	proportion	total_seconds	avg_seconds_per_doc	median_seconds_per_doc	docs_per_minute	model
population	0,10899697608855573	0,639031339031339	0,1701453796792385							BioELECTRA-PICO
intervention	0,49669456316574684	0,6646686455307145	0,49190788553166065							BioELECTRA-PICO
comparator	0,2923076923076923	0,27705128205128204	0,2797720797720798							BioELECTRA-PICO
outcome	0,27930290894987514	0,21012645474242742	0,17626836701429133							BioELECTRA-PICO
SUMMARY_ROUGE-1	0,5906364886417254	0,6618712327715428	0,564032336985824							BioELECTRA-PICO
SUMMARY_ROUGE-2	0,49495691514412204	0,5579637086642659	0,47477986504322883							BioELECTRA-PICO
SUMMARY_ROUGE-L	0,5337578728071234	0,6074881916356789	0,5150636106368166							BioELECTRA-PICO
SUMMARY_BLEU				0,34407692485643254						BioELECTRA-PICO
PROPORTION_ALL_PICO_PARTIAL_CORRECT					0,0					BioELECTRA-PICO
PROCESSING_TIME						313,7297704219818	1,6171637650617618	1,3460743427276611		BioELECTRA-PICO
BATCH_THROUGHPUT									37,101993809333536	BioELECTRA-PICO
population	0,1903125846817799	0,26725681725681727	0,2034160669923069							nlpie_compact_biobert_PICO
intervention	0,362573071319928	0,7210123082536876	0,41026333815064736							nlpie_compact_biobert_PICO
comparator	0,35384615384615387	0,32747863247863246	0,3332030932030932							nlpie_compact_biobert_PICO
outcome	0,9590538954646789	0,9908967089482207	0,9659915272318982							nlpie_compact_biobert_PICO
SUMMARY_ROUGE-1	0,5906364886417254	0,6618712327715428	0,564032336985824							nlpie_compact_biobert_PICO
SUMMARY_ROUGE-2	0,49495691514412204	0,5579637086642659	0,47477986504322883							nlpie_compact_biobert_PICO
SUMMARY_ROUGE-L	0,5337578728071234	0,6074881916356789	0,5150636106368166							nlpie_compact_biobert_PICO
SUMMARY_BLEU				0,34407692485643254						nlpie_compact_biobert_PICO
PROPORTION_ALL_PICO_PARTIAL_CORRECT					0,005128205128205128					nlpie_compact_biobert_PICO
PROCESSING_TIME						110,75634598731995	0,570908999934639	0,3910696506500244		nlpie_compact_biobert_PICO
BATCH_THROUGHPUT									105,09555814826734	nlpie_compact_biobert_PICO
population	0,16511420708206923	0,24147334147334146	0,17627747811773994							nlpie_bio-mobilebert_PICO
intervention	0,3755846762502227	0,7097670975257182	0,42435163731654707							nlpie_bio-mobilebert_PICO
comparator	0,35384615384615387	0,32747863247863246	0,3332030932030932							nlpie_bio-mobilebert_PICO
outcome	0,9590538954646789	0,9908967089482207	0,9659915272318982							nlpie_bio-mobilebert_PICO
SUMMARY_ROUGE-1	0,5906364886417254	0,6618712327715428	0,564032336985824							nlpie_bio-mobilebert_PICO
SUMMARY_ROUGE-2	0,49495691514412204	0,5579637086642659	0,47477986504322883							nlpie_bio-mobilebert_PICO
SUMMARY_ROUGE-L	0,5337578728071234	0,6074881916356789	0,5150636106368166							nlpie_bio-mobilebert_PICO
SUMMARY_BLEU				0,34407692485643254						nlpie_bio-mobilebert_PICO
PROPORTION_ALL_PICO_PARTIAL_CORRECT					0,0					nlpie_bio-mobilebert_PICO
PROCESSING_TIME						79,74204921722412	0,4110414908104336	0,2969784736633301		nlpie_bio-mobilebert_PICO
BATCH_THROUGHPUT									145,97066559315087	nlpie_bio-mobilebert_PICO
population	0,18233842529839323	0,2708180708180708	0,20008944552500535							dmis-lab_biobert-v1.1
intervention	0,3669332322005766	0,730363142604522	0,42128972392212916							dmis-lab_biobert-v1.1
comparator	0,35384615384615387	0,32747863247863246	0,3332030932030932							dmis-lab_biobert-v1.1
outcome	0,9590538954646789	0,9908967089482207	0,9659915272318982							dmis-lab_biobert-v1.1
SUMMARY_ROUGE-1	0,5906364886417254	0,6618712327715428	0,564032336985824							dmis-lab_biobert-v1.1
SUMMARY_ROUGE-2	0,49495691514412204	0,5579637086642659	0,47477986504322883							dmis-lab_biobert-v1.1
SUMMARY_ROUGE-L	0,5337578728071234	0,6074881916356789	0,5150636106368166							dmis-lab_biobert-v1.1
SUMMARY_BLEU				0,34407692485643254						dmis-lab_biobert-v1.1
PROPORTION_ALL_PICO_PARTIAL_CORRECT					0,0					dmis-lab_biobert-v1.1
PROCESSING_TIME						217,889577627182	1,123142152717433	0,7179789543151855		dmis-lab_biobert-v1.1
BATCH_THROUGHPUT									53,42155474694855	dmis-lab_biobert-v1.1
