nctId,briefSummary,detailedDescription,inclusion_criteria,exclusion_criteria,intervention_name_clean,outcomes_name
NCT00105105,"The purpose of this study is to evaluate the effects of C-1073 (Mifepristone) on cognition in patients with Alzheimer's disease (AD) who are also taking an acetylcholinesterase inhibitor (Aricept, Exelon or Reminyl).","This will be a double blind, placebo controlled study of C-1073 to evaluate the effects on cognition in patients with mild to moderate Alzheimer's disease who are already receiving an acetylcholinesterase inhibitor and have been on a stable dose for at least 12 weeks. Patients will be randomized (1:1) to either daily dosing with 300 mg C-1073 or a placebo for 16 weeks. Patients will continue the stable daily dose of acetylcholinesterase inhibitor throughout the study.

Visits will be weekly at the beginning of the study, then every two weeks, and every 4 weeks after week 12. Assessments during these visits may include cognition and behavior, depression, safety, as well as physical exams, clinical laboratory tests, EKG and adverse event reporting.","diagnosis of alzheimer's disease; women must have had a partial or complete hysterectomy; mini mental status evaluation score of 18-27; ham-d score less than or equal to 18; able to provide written informed consent; on a stable dose of an acetylcholinesterase inhibitor for at least 12 weeks prior to screening visit; ambulatory, or ambulatory with walker or cane; sufficient hearing and vision to enable the patient to comply with the study procedures; caregiver available to participate in the assessment of the patient and monitor dosing","women with an intact uterus; a clinically significant medical condition, including lab abnormality, which in the opinion of the investigator would place the patient at undue risk, or would impair the patient's ability to participate in the study. these include but are not limited to: history of cerebral vascular accident (cva), adrenal insufficiency, porphyrias, autoimmune disorders, type i diabetes, chronic obstructive pulmonary disease (copd), hematologic or oncologic disorders in the previous 2 years, vitamin b12 or folate deficiency; a clinically significant active gastrointestinal, renal, hepatic, endocrine, or cardiovascular system disease that is not well controlled by diet, pharmacological treatment, or other therapeutic intervention; history of psychotic episodes or bipolar disorder, or additional diagnosis of delusions, delerium, or depression; evidence of other psychiatric or neurologic disorders (e.g., stroke, schizophrenia, or parkinson disease); hachinski ischemia score of 5 or more; known hypersensitivity to cholinesterase inhibitors; use of systemic or pulmonary inhaled corticosteroids within the 30 days prior to randomization, or require use of these medications during the study; use of memantine (namenda) within the 30 days prior to randomization, or require use of this medication during the study; currently taking medications known to significantly induce or inhibit the metabolism of cyp 3a4, or have taken these medications 7 days prior to randomization (see list below under prohibited medications); use of anticholinergic compounds within the 30 days prior to randomization, or require use of this medication during the study; history of electroconvulsive therapy (ect); patients may not undergo ect during the course of the trial; positive urine drug screen for any non-prescribed drug of abuse (including but not limited to amphetamines, cannabinoids, barbiturates, cocaine, opiates, benzodiazepines); history of illicit drugs usage or a history of drug or alcohol dependence; known to have another form of dementia that may also explain the patient's deficits including reversible dementias, binswanger's, parkinson's dementia complex, korsakoff's, mental retardation or vascular dementia. patients who meet clinical criteria for ad but who have deep white matter lesions on mri or ct scan will be accepted.; currently taking prescription anticoagulants such as warfarin (coumadin); planned surgical procedures during the study period, including the 4 week off drug period between weeks 16 and 20; participation in a clinical investigation of any drug, or other biological or investigational therapy within 30 days prior to dosing; previous participation in a trial using mifepristone, or known sensitivity or allergy to c-1073 (mifepristone) or its constituents; body mass index (bmi) over 35prohibited medications:medications known to significantly induce or inhibit the metabolism of cyp 3a4, specifically: carbamazepine (carbatrol tegretol); modafinil (provigil); nefazodone (serzone); droperidol; erythromycin; fluconazole (diflucan); itraconazole (sporanox); ketoconazole (nizoral); simvastatin (zocor); lovastatin (mevacor); vinblastine; vincristine; paclitaxel (taxol); tamoxifen (nolvadex); cyclosporine (neoral, sandimmune); tacrolimus (gengraf); sirolimus (rapamune); midazolam (versed); nicardipine (cardene); nifedipine (adalat, procardia); felodipine (lexxel, plendil); thioridizine; pimozide (orap); quinidine; patient may also not take st. john's wort during the study or within 7 days prior to study entry; the use of grapefruit juice will be excluded during the course of the study.; use of anticholinergic compounds over the past 30 days prior to randomization; warfarin (coumadin); all systemic and inhaled pulmonary corticosteroids; memantine (namenda)",Mifepristone,effects on cognition
NCT00160147,This is a 10-week study with bifeprunox and placebo in elderly subjects with psychosis and behavioral disturbances associated with dementia of the alzheimer's type.,,diagnosis of dementia of the alzheimer's type,"history of seizure disorder; clinically significant electrocardiogram (ecg); clinical or radiological evidence of stroke, vascular dementia or dementia due to substance abuse, or head trauma",bifeprunox; Placebo,Brief Psychiatric Rating Scale (BPRS) Total Score
NCT00299988,"The overall goal of this double-blind Phase II study is to evaluate the safety, efficacy and biological mechanisms of action of Intravenous Immunoglobulin (IVIg) in the treatment of mild to moderate stage Alzheimer's disease (AD). IVIg contains antibodies against the amyloid beta protein that is the central component of the AD senile plaque. It is hypothesized that IVIg treatment will reduce the levels of beta amyloid in the brain and improve cognitive abilities relative to placebo. A total of 24 patients with mild to moderate AD capable of giving informed consent will be randomly assigned to receive either IVIg (16 patients)or saline placebo (8 patients) for six months. This study includes comparison of four dosing regimens of IVIg. Cognitive, behavioral and functional measures will be collected at baseline, three months and six months of treatment. Plasma samples will be collected before and after infusions. Subjects will undergo a lumbar puncture before and after the six months of treatment for cerebrospinal fluid (CSF) biomarker analyses. In addition, Positron Emission Tomography (PET) imaging substudies will be performed at two time points during the study. Following the initial 6 month placebo-controlled period, all participants have the opportunity to receive IVIg for an additional 12 month period in an extension study.","Abnormal processing of the beta-amyloid protein is thought to be an early and causative event in the pathogenesis of Alzheimer's disease (AD). Immunotherapy targeting beta amyloid (Aβ) has demonstrated a remarkable capacity to arrest and even reverse elements of AD brain pathology. Intravenous Immunoglobulin (IVIg) is a medication obtained from the pooled plasma of healthy human blood donors that contains natural anti-amyloid antibodies and exhibits potent central nervous system anti-inflammatory properties. IVIg has been FDA-approved and used for more than 25 years in patients with a variety of immune deficiency and autoimmune diseases and has an established safety record, but is not FDA-approved for the treatment of AD.

A total of 24 patients, males and females 50 years of age and older, with mild to moderate Alzheimer's disease (AD) will be enrolled in this research study. To be eligible, patients must meet the National Institute of Neurological and Communicative Disorders and Stroke/Alzheimer's Disease and Related Disorders Association (NINCDS-ADRDA) criteria for probable AD. After written informed consent is obtained, subjects will go through a screening process to determine if he or she meets the inclusion criteria. Screening procedures include medical history, blood and urine tests, neurologic exam, chest x-ray and MRI. Women who want to take part in this study must either be post-menopausal, surgically sterilized or agree to avoid becoming pregnant during the entire period of their participation in this study.

To be eligible for this research study, patients must be taking a stable dose of an approved AD medication for at least 3 months prior to entering this study or be unable to take these medications. The design of this protocol is that of an add-on study and we will recommend patients continue to take any FDA-approved AD medications they are taking at study entry.

Subjects' participation in the study will last approximately 19 months, including screening and baseline procedures, treatment with study drug and a follow-up visit 1 ½ months after finishing treatment, plus a visit for blood tests 6 months after the last infusion in the study. This research study requires that the patient have another person, (such as a spouse, child, other relative, close friend, aide or other professional caregiver), who will accompany the patient to each clinic visit.

Subjects will be randomized to a treatment group for 6 months of infusions of IVIg or placebo. The treatment groups compare different doses and frequencies of treatment. Patients will have a 33% chance of receiving placebo.

Blood will be obtained from subjects every two weeks and examined in our research laboratories to obtain more information about IVIg's biological effects. Cerebrospinal fluid will be obtained by lumbar puncture twice over the course of the study for the same purpose. Patients will be asked to allow a portion of a blood sample to be used for Apolipoprotein E (APOE) testing and banked for genetic research testing related to AD and aging, but do not have to participate in the testing or allow their blood sample to be stored in order to take part in the study.

Cognitive testing will be carried out at baseline and every three months over a period of 18 months. Results of cognitive testing will constitute the primary endpoint of this study. Positron Emission Tomography (PET) imaging substudies will be performed at two time points during the study. Safety laboratories and assessments will be carried out at regular intervals. Subjects will not be responsible for any research study-related costs but will be responsible for the costs of evaluations required to establish diagnosis.","1. diagnosis of probable alzheimer's disease (ad) of mild to moderate severity (as determined by a mini mental state examination (mmse) score of 14 - 26 inclusive).2. ability to give informed consent, designate a decision-maker or have an already recognized decision-maker (such as a legal guardian or health care proxy).3. ability to comply with testing and infusion regimen.4. an able caregiver willing to participate (such as a spouse, child, other relative, close friend, aide or other professional caregiver closely involved in helping the patient take care of himself/herself).5. venous access suitable for repeated infusion and phlebotomy.6. on stable doses of approved ad medications for at least 3 months.7. as applicable, on stable doses of psychoactive medications (e.g. antidepressants, antipsychotics) for at least 6 weeks.8. neuroimaging performed after symptom onset consistent with the patient's diagnosis.9. clinical laboratory values within normal limits or if abnormal, judged clinically insignificant by the principal investigator.10. women who want to take part in this study must either be post-menopausal, surgically sterilized or agree to avoid becoming pregnant during the entire period of their participation in this study.","1. non-alzheimer dementia.2. active renal disease.3. abnormally high serum viscosity levels.4. immunoglobulin a (iga) deficiency.5. untreated congestive heart failure, unstable angina or a history of recent myocardial infarction.6. unstable arrhythmia.7. untreated or poorly controlled hypercholesterolemia.8. untreated or poorly controlled hypertension.9. poorly controlled diabetes.10. thrombosis (central or peripheral) in the past year.11. modified hachinski score \> 5.12. active cancer diagnosis, except basal cell carcinoma.13. active autoimmune or neuroimmunologic disorder.14. history of ivig treatment in past 6 months.15. untreated major depression or other major psychiatric disorders.16. known coagulopathy or platelet counts \< 100,000.17. positive serology for hepatitis b or c, or hiv.18. active migraines or frequent headaches (3 or more times per week).19. taking immunosuppressive drugs.20. chronic (more than thrice weekly) use of non-steroidal anti-inflammatory drugs (nsaids), excluding aspirin 81 milligrams daily.21. received an investigational treatment for ad within 3 months of study entry.22. a history of or current disorder or disease that in a physician co-investigator's judgment may impede the subject's participation in the study, pose immoderate risk to the patient or confound the results of the study",Intravenous Immunoglobulin; Placebo,ADAS-Cog; CGIC
NCT00334568,"Clinical features in patients with the familial early onset forms and the sporadic forms of Alzheimers disease are similar, although the course of deterioration may be different. It would be very informative to examine the drug response of patients with Alzheimers disease by a certain genotype to find evidence favouring genotype-specific drug responses that may indicate genetically defined phenotypic differences in alzheimers disease.",,"meets the national institute of neurological and communicative diseases and stroke/alzheimers disease and related disorders association (nincds-adrda) criteria for alzheimers disease, regardless of date of diagnosis relative to study entry date.; has an alzheimers disease status of mild to moderate, as classified by a mini mental state examination (mmse) score of 16 - 26 inclusive at screening.; post-menopausal females defined as menopause is defined as \>6 months without menstrual period with an appropriate clinical profile, e.g. age appropriate, history of vasomotor symptoms. however if indicated this should be confirmed by oestradiol and fsh levels consistent with menopause (according to local laboratory ranges).; women who are on hrt (hormone replacement therapy) treatment, and have not been confirmed as post-menopausal should be advised to use contraception.; has a permanent caregiver who is willing to attend all visits, oversee the subjects compliance with protocol-specified procedures and study medication, and report on subjects status. (subjects living alone or in a nursing home are not eligible).","has a history of or suffers from claustrophobia.; is unable to lie comfortably on a bed inside a pet camera with their head in the field of view for at least 60 minutes as assessed by physical examination and medical history (e.g. back pain, arthritis).; has a history or presence of other neurological or other medical conditions that may influence the outcome or analysis of the pet scan results. examples of such conditions include, but are not limited to stroke, traumatic brain injury, epilepsy or space occupying lesions.; history of type i or type ii diabetes mellitus.; fasting plasma glucose level \>126 mg/dl (\>7.0 mmol/l) or hba1c \>6.2%.; history or clinical/laboratory evidence of moderate congestive heart failure defined by the new york heart association criteria (class ii-iv.",Rosiglitazone XR (extended release) oral tablets; Placebo,Change in global and regional cerebral glucose metabolism/Cerebral Metabolic Rate for glucose (CMRglu) as measured by the ratio of Ki to K1
NCT00362024,MK0952 is a phosphodiesterase type IV (PDE4) inhibitor in development for improvement of cognitive impairment in mild-to-moderate Alzheimer's disease.,,"male or females; age \>/= 55 years, with mild-to-moderate ad, with mmse between 18 and 26, inclusive, mhis score \/= 6 months","patients must not be living in nursing home or skilled nursing facility; patients must not have current evidence and/or history of crohn's disease, ulcerative colitis, proctitis, gi bleeding, mesenteric arteritis; patients must not have current evidence and/or history of poorly-controlled hypertension, clinically significant cardiac arrhythmia, angina, or chf; patients must not have current evidence and/or history of a psychotic disorder or major untreated depressive disorder; patients must not have current evidence and/or history of stroke or multiple lacunar infarcts, or neurological or neurodegenerative disorder (other than ad); various concomitant therapy restrictions",MK0952; Comparator: Placebo,
NCT00369603,The purpose of this study is to determine whether standard medications approved for Alzheimer's disease treatment differ in their action on brain functioning and whether any observed brain activity differences as result of treatment are associated with particular patterns of dementia improvement or reduced decline.,"This study seeks to differentiate task-related and resting brain activity patterns captured via functional magnetic resonance imaging (fMRI) and associated with two common Alzheimer's disease (AD) medications, equivalent in acetylcholinesterase inhibition effect (AChEI) but differing with respect to allosteric nicotinic receptor modulation effect. It is the primary aim of this project to gain a better understanding of the brain mechanisms involved in the attentional and executive skills improvements associated with nicotinic receptor modulation in mild AD patients.

To address this question, this 12-week continuous treatment, double-blind, head-to-head dose-escalation treatment trial seeks to visualize any treatment response unique to allosteric nicotinic receptor modulation and to associate these fMRI data with standard cognitive assessment outcomes. Using in-scanner tasks shown to reliably elicit brain activity in cortical regions important to memory and attention, this treatment trial will examine both resting and task-related BOLD signal characteristics in a well-characterized sample of 36 mild AD patients after periods of low dose and high dose AD dementia treatment with either galantamine hydrobromide (AChEI + nicotinic receptor modulation) or donepezil hydrochloride (AChEI only). Both the low and high dose imaging comparisons between treatment groups will be equivalent for 35% AChEI-effect, which may allow for the isolation of BOLD signal unique to allosteric nicotinic receptor modulation in both brain at rest and task-related brain states.","must meet diagnosis of mild alzheimer's disease; must have a family member or caregiver who is willing to attend all study visits and provide information on your participation in the study; if female, must be post-menopausal; must be able to swallow tablets","metal implants or medical devises unsafe for mri use; pre-menopausal female; history of recent head injury; significant major, life-threatening illness or injury (e.g., stroke, aids, etc.); vascular dementia or any dementia other than alzheimer's disease; history of significant alcoholism or drug abuse; history of seizure disorder, developmental delay or major psychiatric illness",Razadyne ER; Aricept,"Brain activity patterns, as collected via functional magnetic resonance imaging (fMRI), at rest and associated with task performance after 4 weeks of low-dose treatment and after 8-weeks of higher-dose treatment."
NCT00380276,Open-label treatment with MPC-7869 for participants in a previous randomized study.,,"participation in a previous mpc-7869 randomized protocol; have had a diagnosis of probable alzheimer's disease.; men or women ages 55 years or greater and living in the community at the time of enrollment (i.e., not living in a rest home or nursing care facility).; signed the subject informed consent form and is willing and able to participate for the duration of the study.; female subjects must be surgically sterile or postmenopausal for \> 1 year.; subjects must have a reliable caregiver who can read, understand and speak english or spanish.","history or evidence of, active malignancy, except for basal cell carcinoma or squamous cell carcinoma of the skin, within the 24 months prior to entry. men with prostate cancer may be enrolled at the discretion of the sponsor.; chronic or acute renal, hepatic or metabolic disorder.; use of any investigational therapy within 30 days, or 5 half-lives, whichever is longer, and/or use of ad immunotherapy prior to screening.",MPC-7869,Primary Safety
NCT00544453,"The main objectives of this proposal are as follows:

To assess the dynamic uptake and washout of 123-I MNI-308, a potential imaging biomarker for β-amyloid burden in brain, using single photon emission computed tomography (SPECT) in similarly aged Alzheimer's (AD) subjects and healthy controls

To perform blood metabolite characterization of 123-I MNI-308 in healthy and AD subjects to determine the metabolic fate and nature of metabolites in assessment of 123-I MNI-308 as a single photon computed tomography (SPECT) brain imaging agent

Evaluate the test/retest reproducibility of 123-I MNI-308 and SPECT in AD subjects and healthy control","General Design and Methods. The underlying goal of this study is to assess 123-I MNI-308 SPECT imaging as a tool to detect ß-amyloid deposition in the brain of AD research participants and age- and gender-matched healthy subjects. All study procedures will be conducted at the Institute for Neurodegenerative Disorders (IND) and Molecular NeuroImaging (MNI) in New Haven, CT. Approximately 10 patients with Alzheimers disease (AD) and 6 healthy controls (within +/- 2 years) will be recruited to participate in this study. Healthy controls will be examined to ensure that there is no evidence of neurodegenerative changes including cognitive decline.

An interval of at least 14 days will lapse between dosing in the first four AD subjects. This is intended to provide a longer period for AE assessments. Once complete, absent any serious adverse events in these initial AD subjects, dosing may commence with the remainder of the subjects, including healthy controls.

Informed consent will be obtained for all subjects. All subjects will undergo a screening evaluation including baseline clinical laboratory testing, a baseline physical and neurological evaluation and baseline cognitive evaluations. Subjects will be asked to undergo a bolus injection of 123-I MNI-308. Subjects will undergo serial SPECT imaging scans and serial venous plasma sampling for measurement of 123-I MNI-308 in plasma (both protein bound and free) over a period of up to 8 hours. The imaging analyses will be performed by an image-processing specialist who will remain masked to the procedures employed with each imaging acquisition. The primary imaging outcome measure will be the brain regional distribution volumes expressed as a brain tissue to plasma ratio of the radioligand, 123-I MNI-308. Time to the peak uptake and amplitude of the peak uptake will be evaluated for all brain regions and the results for the AD patients and controls will be compared.","alzheimer's disease will be recruited for this study. the following criteria will be met for inclusion of ad subjects in this study: ; the participant is 50 years or older. ; written informed consent is obtained. ; participants have a clinical diagnosis of alzheimer's disease based on national institute of neurological and communicative disorders and stroke/alzheimer's disease and related disorders association (nincds/adrda) criteria. ; mini-mental status exam score \< 25. ; modified hachinski ischemia scale score of ≤ 4. ; geriatric depression scales (gds) ≤ 10. ; for females, non-child bearing potential or negative urine or blood pregnancy test on day of 123-i mni-308 injection.healthy control subject selection. healthy control subjects who have no neurological disease will be recruited for this study. the following criteria will be met for inclusion of healthy control subjects in this study: the participant is 50 years or older.; written informed consent is obtained.; negative history of neurological or psychiatric illness based on evaluation by a research physician.; mini-mental status exam score ≥28.; for females, non-child bearing potential or negative urine or blood pregnancy test on day of 123-i mni-308 injection.","alzheimer's subjects will be excluded from participation for the following reasons: ; the subject has signs or symptoms of another neurodegenerative disease including parkinson's disease, diffuse lewy body dementia, or history of significant cerebrovascular disease. ; the subject has a clinically significant abnormal laboratory value and/or clinically significant unstable medical or psychiatric illness ; the subject has any disorder that may interfere with drug absorption distribution, metabolism, or excretion (including gastrointestinal surgery). ; the subject has evidence of clinically significant gastrointestinal, cardiovascular, hepatic, renal, hematological, neoplastic, endocrine, neurological, immunodeficiency, pulmonary, or other disorder or disease. ; pregnancyhealthy control subjects will be excluded from participation for the following reasons: the subject has a clinically significant abnormal laboratory value and/or clinically significant unstable medical or psychiatric illness.; the subject has any disorder that may interfere with drug absorption distribution, metabolism, or excretion (including gastrointestinal surgery).; the subject has evidence of clinically significant gastrointestinal, cardiovascular, hepatic, renal, hematological, neoplastic, endocrine, neurological, immunodeficiency, pulmonary, or other disorder or disease.; pregnancy",[123I] MNI-308,
NCT00596024,"Oxidative damage by free radicals may be involved in causing Alzheimer's disease (AD). Free radicals may lead to death of nerve cells and decline in brain function. Certain antioxidants may suppress this free radical damage associated with AD. Carotenoids are a family of naturally occurring antioxidants that have important functions for human health. Carotenoids are known to reduce oxidative damage, but their effects have not been studied in AD patients.

The objective of the study is to examine whether lutein supplementation helps to reduce oxidative damage from free radicals in AD patients.",,diagnosed with moderately severe alzheimer's disease,,lutein/zeaxanthin; placebo,oxidative damage markers
NCT00605046,"Purpose:

The main objectives of this proposal are as follows:

To assess the dynamic uptake and washout of 123-I AV151, a potential imaging biomarker for β-amyloid burden in brain, using single photon emission computed tomography (SPECT) in similarly aged healthy controls and Alzheimer's (AD) subjects

To perform blood metabolite characterization of 123-I AV151 in healthy and AD subjects to determine the metabolic fate and nature of metabolites in assessment of 123-I AV151 as a single photon computed tomography (SPECT) brain imaging agent

Evaluate the test/retest reproducibility of 123-I AV151 and SPECT in AD subjects and healthy controls","General Design and Methods. The underlying goal of this study is to assess 123-I AV151 SPECT imaging as a tool to detect ß-amyloid deposition in the brain of AD research participants and age- and gender-matched healthy subjects. All study procedures will be conducted at the Institute for Neurodegenerative Disorders (IND) and Molecular NeuroImaging (MNI) in New Haven, CT. Approximately 20 patients with Alzheimers disease (AD) and 10 healthy controls will be recruited to participate in this study. Healthy controls will be examined to ensure that there is no evidence of neurodegenerative changes including cognitive decline. Informed consent will be obtained for all. All subjects will undergo a screening evaluation including baseline clinical laboratory testing, a baseline physical and neurological evaluation and baseline cognitive evaluations. Subjects will be asked to undergo a bolus injection of 123-I AV151. Subjects will undergo serial SPECT imaging scans and serial venous plasma sampling for measurement of 123-I AV151 in plasma (both protein bound and free) over a period of up to 6 hours. Subjects may be asked to undergo a second imaging visit between 2 and 6 weeks following the initial imaging visit following similar procedures to the initial imaging visit to evaluate the reproducibility of the imaging measure using this procedure. The imaging analyses will be performed by an image-processing specialist who will remain masked to the procedures employed with each imaging acquisition. The primary imaging outcome measure will be the brain regional distribution volumes expressed as a brain tissue to plasma ratio of the radioligand, 123-I AV151. Time to the peak uptake and amplitude of the peak uptake will be evaluated for all brain regions and the results for the AD patients and controls will be compared. For those subjects undergoing repeat imaging visits, the data from the initial scan will be compared to the second scan to determine which offers the reproducibility of the imaging outcome measure.","alzheimer disease; the participant is 50 years or older.; written informed consent is obtained.; participants have a clinical diagnosis of alzheimer's disease based on national institute of neurological and communicative disorders and stroke/alzheimer's disease and related disorders association (nincds/adrda) criteria.; mini-mental status exam score \< 25.; modified hachinski ischemia scale score of ≤ 4.; geriatric depression scales (gds) ≤ 10.; for females, non-child bearing potential or negative urine or blood pregnancy test on day of 123-i av151 injection.","alzheimer disease; the subject has signs or symptoms of another neurodegenerative disease including parkinson's disease, diffuse lewy body dementia, or history of significant cerebrovascular disease.; the subject has a clinically significant abnormal laboratory value and/or clinically significant unstable medical or psychiatric illness; the subject has any disorder that may interfere with drug absorption distribution, metabolism, or excretion (including gastrointestinal surgery).; the subject has evidence of clinically significant gastrointestinal, cardiovascular, hepatic, renal, hematological, neoplastic, endocrine, neurological, immunodeficiency, pulmonary, or other disorder or disease.; pregnancyconcomitant therapy patients may remain on a stable dose of anticholinesterase medication during the study. use of donepezil (aricept), rivastigmine (exelon), galantamine (razadyne), tacrine (cognex), and memantine (namenda) are permitted during the study. doses of these compounds must be stable for 2 months prior to the study. at each visit after the screening visit, the investigator will ask the patient whether any medications including otc medications, were taken since the previous visit.use of antipsychotics for agitation and benzodiazepines for insomnia or anxiety is permitted. however, the use of these agents is not permitted within the 8 hours prior to administration of cognitive testing.inclusion criteria: healthy volunteers; the participant is 50 years or older.; written informed consent is obtained.; negative history of neurological or psychiatric illness based on evaluation by a research physician.; mini-mental status exam score ≥28.; for females, non-child bearing potential or negative urine or blood pregnancy test on day of 123-i av151 injection.exclusion criteria: healthy voluneers; the subject has a clinically significant abnormal laboratory value and/or clinically significant unstable medical or psychiatric illness.; the subject has any disorder that may interfere with drug absorption distribution, metabolism, or excretion (including gastrointestinal surgery).; the subject has evidence of clinically significant gastrointestinal, cardiovascular, hepatic, renal, hematological, neoplastic, endocrine, neurological, immunodeficiency, pulmonary, or other disorder or disease.; pregnancy",SPECT scan,AV151-01: Evaluation of [123I] AV151 and SPECT as a marker of beta-amyloid protein deposition in subjects with Alzheimer disease in comparison to healthy subjects
