element,precision,recall,f1,bleu,proportion,total_seconds,avg_seconds_per_doc,median_seconds_per_doc,docs_per_minute
population,0.37863576133246524,0.7220260989010989,0.47729655316628883,,,,,,
intervention,0.7941558441558442,0.8291666666666666,0.7597560975609755,,,,,,
comparator,0.6,0.5666666666666667,0.575,,,,,,
outcome,0.36256238859180034,0.1492622720416838,0.15547261687657435,,,,,,
SUMMARY_ROUGE-1,0.7988153898602259,0.9080804363833662,0.8330124083139866,,,,,,
SUMMARY_ROUGE-2,0.768481095662352,0.86337143450802,0.7982872302191939,,,,,,
SUMMARY_ROUGE-L,0.7799698987559097,0.8816460354937856,0.8123879319766969,,,,,,
SUMMARY_BLEU,,,,0.696942360351163,,,,,
PROPORTION_ALL_PICO_PARTIAL_CORRECT,,,,,0.0,,,,
PROCESSING_TIME,,,,,,27.20391869544983,1.3601959347724915,0.933741569519043,
BATCH_THROUGHPUT,,,,,,,,,44.11129195885716
