doc_id,summary,population,intervention,comparator,outcome,population_partial_precision,population_partial_recall,population_partial_f1,intervention_partial_precision,intervention_partial_recall,intervention_partial_f1,comparator_partial_precision,comparator_partial_recall,comparator_partial_f1,outcome_partial_precision,outcome_partial_recall,outcome_partial_f1,summary_rouge1_precision,summary_rouge1_recall,summary_rouge1_f1,summary_rouge2_precision,summary_rouge2_recall,summary_rouge2_f1,summary_rougeL_precision,summary_rougeL_recall,summary_rougeL_f1,summary_bleu
NCT00667810,"[""This is a study to evaluate the efficacy and safety of multiple doses of bapineuzumab in patients with mild to moderate Alzheimer Disease. Patients will receive either bapineuzumab or placebo. Each patient's participation will last approximately 1.5 years.""]",patients with mild to moderate alzheimer disease,bapineuzumab,placebo,the change from baseline in the alzheimer's disease assessment scale-cognitive subscale (adas-cog)/11 total score at week 78,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8571428571428571,1.0,0.923076923076923,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7011019278706779
NCT00676143,"[""This is a study to evaluate the efficacy and safety of multiple doses of bapineuzumab in patients with mild to moderate Alzheimer Disease. Patients will receive either bapineuzumab or placebo. Each patient's participation will last approximately 1.5 years.""]",patients with mild to moderate alzheimer disease,bapineuzumab,placebo,change from baseline in alzheimer's disease assessment scale-cognitive (adas-cog)/11 subscale total score at week 78,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.85,1.0,0.9189189189189189,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7011019278706779
NCT01561430,"[""The purpose of this Phase 1/Phase 2 study is to evaluate how the body handles the drug and the drug's effect on the body of participants with mild cognitive impairment (MCI) due to Alzheimer's Disease (AD) or mild AD and who test positive for amyloid plaque.""]",participants with mild cognitive impairment (mci) due to alzheimer's disease (ad) or mild ad and who test positive for amyloid plaque,ly2886721,placebo,change from baseline to 12 weeks in cerebrospinal fluid (csf) amyloid beta (aβ)1-40 and aβ1-42 concentrations; change from baseline to 26 weeks in csf aβ1-40 and aβ1-42 concentrations,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.65,0.8666666666666667,0.7428571428571429,0.6329113924050633,0.847457627118644,0.7246376811594203,0.65,0.8666666666666667,0.7428571428571429,0.9550271111000316
NCT01900665,"[""To test the idea that solanezumab will slow the cognitive decline of Alzheimer's Disease (AD) as compared with placebo in participants with mild AD.""]",participants with mild ad,solanezumab,placebo,change from baseline in alzheimer's disease assessment scale-cognitive 14 item subscore (adas-cog14),1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.910879922930628
NCT02565511,"[""The purpose of this study was to test whether two investigational drugs called CAD106 and CNP520, administered separately, could slow down the onset and progression of clinical symptoms associated with Alzheimer's disease (AD) in participants at the risk to develop clinical symptoms based on their age and genotype.""]",cognitively unimpaired apoe4 homozygotes (hms) aged 60 to 75 years,cad106 immunotherapy cnp520 alum,placebo,"time to event (diagnosis of mild cognitive impairment or dementia, due to alzheimer's disease (ad))",0.6,1.0,0.7499999999999999,0.5,0.5,0.5,1.0,1.0,1.0,0.7916666666666666,1.0,0.8837209302325582,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6792737816212887
NCT02769000,"[""Evaluate safety and toxicity/adverse events associated with delivery of low dose whole brain irradiation in patients with early Alzheimer's dementia according to the National Institute of Neurological and Communicative Disorders and Stroke and the Alzheimer's Disease and Related Disorders Association (NINCDS-ADRDA) criteria.. As a secondary goal it will establish whether or not the intervention with low dose whole brain irradiation stabilizes or decreases cerebral amyloid deposits and whether these correlate with the recognized progression of Alzheimer's dementia. The investigators will also collect information from the FDG and AmyvidÂ® PET Scans to determine if there is any correlation between neurocognitive/quality of life scores and changes in amyloid plaque size, number and location.""]",patients with early alzheimer's dementia,radiation 10 gy radiation 20 gy,,ctcae toxicity grading,0.42,1.0,0.5915492957746479,0.047619047619047616,0.5,0.08695652173913042,1.0,1.0,1.0,0.13636363636363635,0.6666666666666666,0.22641509433962262,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6058126008325706
NCT02783573,"[""The main purpose of this study is to evaluate the efficacy of the study drug known as lanabecestat in participants with mild Alzheimer's disease (AD) dementia.""]",participants with mild alzheimer's disease (ad) dementia,lanabecestat,placebo,change from baseline in alzheimer´s disease assessment scale- cognitive subscale (adas-cog13) score,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5645161290322581,1.0,0.7216494845360826,0.5245901639344263,0.9411764705882353,0.6736842105263159,0.5645161290322581,1.0,0.7216494845360826,0.9181891462193902
NCT02791191,"[""The main purpose of this study is to evaluate the safety and the effect on brain tau of the study drug LY3202626 in participants with mild Alzheimer's disease (AD) dementia.""]",participants with mild alzheimer's disease (ad) dementia,ly3202626,placebo,change from baseline in f-av-1451 positron emission tomography (pet) standard uptake value ratio (suvr) at 52 weeks,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.38235294117647056,0.8297872340425532,0.523489932885906,0.32673267326732675,0.717391304347826,0.44897959183673475,0.3235294117647059,0.7021276595744681,0.4429530201342282,0.9297121915433835
NCT02884492,"[""This study is being done to learn about tau tangles in Alzheimer's disease. A type of PET scan is used to measure the abnormal accumulation of protein called tau in the brain. These are thought to be involved in Alzheimer's disease. The investigators will also perform brain MRI and to tests to measure the participant's memory and thinking.""]",elderly subjects with different clinical and biomarker profiles of alzheimer's disease (ad),18f thk 5351,,18f-thk-5351 standardized uptake value ratio,1.0,1.0,1.0,0.375,1.0,0.5454545454545454,1.0,1.0,1.0,1.0,1.0,1.0,0.5645161290322581,1.0,0.7216494845360826,0.5245901639344263,0.9411764705882353,0.6736842105263159,0.5645161290322581,1.0,0.7216494845360826,0.3915835130583816
NCT02972658,"[""This study is an extension of study I8D-MC-AZES (NCT02245737), the AMARANTH study. The purpose of this study is to evaluate the effectiveness of the study drug lanabecestat in participants with early Alzheimer's disease dementia at the time of entry into study I8D-MC-AZES.""]",participants with early alzheimer's disease dementia,lanabecestat,,change from baseline analysis on the 13-item alzheimer's disease assessment scale - cognitive subscale (adas-cog13),0.5384615384615384,1.0,0.7000000000000001,0.16666666666666666,1.0,0.2857142857142857,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0.6666666666666666,0.4948453608247423,1.0,0.6620689655172414,0.5,1.0,0.6666666666666666,0.31525707177736284
NCT03131453,"['The purpose of this study is to determine the effects of CNP520 on cognition, global clinical status, and underlying AD pathology, as well as the safety of CNP520, in people at risk for the onset of clinical symptoms of AD based on their age, APOE genotype and elevated amyloid.']","cognitively unimpaired participants aged 60 to 75 years, with at least one apolipoprotein e allele (apoe4), (homozygotes (hms) or heterozygotes (hts)) and, if hts, with evidence of elevated brain amyloid",cnp520 50 mg cnp520 15 mg,placebo,"time to event (diagnosis of mild cognitive impairment or dementia, due to alzheimer's disease (ad))",0.9285714285714286,1.0,0.962962962962963,1.0,0.25,0.4,1.0,1.0,1.0,0.7916666666666666,1.0,0.8837209302325582,1.0,0.825,0.9041095890410958,0.96875,0.7948717948717948,0.8732394366197183,1.0,0.825,0.9041095890410958,0.4813697663731554
