element,precision,recall,f1,bleu,proportion,total_seconds,avg_seconds_per_doc,median_seconds_per_doc,docs_per_minute
population,0.8187960927960928,0.9075187969924812,0.8493805425143452,,,,,,
intervention,0.6080357142857142,0.8291666666666666,0.6170173787565092,,,,,,
comparator,0.95,0.95,0.95,,,,,,
outcome,0.9016991341991341,0.9742424242424242,0.9269716507156343,,,,,,
SUMMARY_ROUGE-1,0.7988153898602259,0.9080804363833662,0.8330124083139866,,,,,,
SUMMARY_ROUGE-2,0.768481095662352,0.86337143450802,0.7982872302191939,,,,,,
SUMMARY_ROUGE-L,0.7799698987559097,0.8816460354937856,0.8123879319766969,,,,,,
SUMMARY_BLEU,,,,0.696942360351163,,,,,
PROPORTION_ALL_PICO_PARTIAL_CORRECT,,,,,0.55,,,,
PROCESSING_TIME,,,,,,19.539490222930908,0.9769745111465454,0.3955080509185791,
BATCH_THROUGHPUT,,,,,,,,,61.4140894316536
