element,precision,recall,f1,bleu,proportion,total_seconds,avg_seconds_per_doc,median_seconds_per_doc,docs_per_minute
population,0.8300095839617899,0.8558155002891844,0.8207862997516434,,,,,,
intervention,0.5737275985663082,0.8666666666666666,0.6135204991087344,,,,,,
comparator,0.95,0.95,0.95,,,,,,
outcome,0.9016991341991341,0.9742424242424242,0.9269716507156343,,,,,,
SUMMARY_ROUGE-1,0.7988153898602259,0.9080804363833662,0.8330124083139866,,,,,,
SUMMARY_ROUGE-2,0.768481095662352,0.86337143450802,0.7982872302191939,,,,,,
SUMMARY_ROUGE-L,0.7799698987559097,0.8816460354937856,0.8123879319766969,,,,,,
SUMMARY_BLEU,,,,0.696942360351163,,,,,
PROPORTION_ALL_PICO_PARTIAL_CORRECT,,,,,0.45,,,,
PROCESSING_TIME,,,,,,11.01933479309082,0.550966739654541,0.2150259017944336,
BATCH_THROUGHPUT,,,,,,,,,108.89949552602813
